"mode" "time"
"2" "WA" 12.1706823079403
"3" "WA" 23.0552275006002
"4" "WA" 11.5862560006
"5" "WA" 8.01666883199548
"6" "WA" 34.6535745880819
"7" "WA" 10.8726084263273
"8" "WA" 22.1067925006002
"9" "WA" 1.08530348675026
"10" "WA" 6.40635251080414
"11" "WA" 9.16227450060023
"12" "WA" 17.9904865006001
"13" "WA" 1.10503026257898
"14" "WA" 86.0786975006001
"15" "WA" 31.6482631016102
"16" "WA" 1.97662923531446
"17" "WA" 1.22729511710025
"18" "WA" 10.2220488844384
"19" "WA" 3.27267255212532
"20" "WA" 11.1268962305999
"21" "WA" 8.16463250064987
"22" "WA" 4.29397587635761
"23" "WA" 5.81745854625465
"24" "WA" 3.31197438760006
"25" "WA" 8.78109000059993
"26" "WA" 11.844207501
"27" "WA" 4.06268175810004
"28" "WA" 2.15636430910013
"29" "WA" 1.3475159905999
"30" "WA" 4.8610635835999
"31" "WA" 7.02604799923506
"32" "WA" 6.0368643408062
"33" "WA" 7.42053950868083
"34" "WA" 4.02714566910004
"35" "WA" 0.087116503610332
"36" "WA" 8.74741108140825
"37" "WA" 24.9213790006
"38" "WA" 22.6395834986001
"39" "WA" 15.9947974991001
"40" "WA" 2.78419987300003
"41" "WA" 13.0665200006001
"42" "WA" 8.60101054595536
"43" "WA" 1.00264220711989
"44" "WA" 3.01609037882692
"45" "WA" 20.9991895006002
"46" "WA" 34.4441798786002
"47" "WA" 33.8423190846001
"48" "WA" 26.7014914996002
"49" "WA" 3.79869783590021
"50" "WA" 1.68593250710023
"51" "WA" 4.19727877560024
"52" "WA" 7.77891330560015
"53" "WA" 2.76019897933296
"54" "WA" 0.146037888294117
"55" "WA" 17.0121485003903
"56" "WA" 4.12565200060027
"57" "WA" 6.97222488374301
"58" "WA" 7.04923550060016
"59" "WA" 6.38490189310016
"60" "WA" 13.8345390021003
"61" "WA" 3.54314089602447
"62" "WA" 3.9851328973233
"63" "WA" 1.83936735410026
"64" "WA" 2.67589245865537
"65" "WA" 14.2073900006001
"66" "WA" 18.5369947841055
"67" "WA" 15.26093653552
"68" "WA" 5.15130051080444
"69" "WA" 8.39182300060036
"70" "WA" 3.00247800297908
"71" "WA" 28.1025835006002
"72" "WA" 16.5728875031002
"73" "WA" 23.5796000006003
"74" "WA" 10.6514588389841
"75" "WA" 2.14142689460016
"76" "WA" 10.7662376069537
"77" "WA" 35.3647320006002
"78" "WA" 209.193302970297
"79" "WA" 20.3357732506001
"80" "WA" 41.7417780555451
"81" "WA" 16.5162713376786
"82" "WA" 31.5430050968627
"83" "WA" 8.69673845686903
"84" "WA" 15.0035825373074
"85" "WA" 315.007058402299
"1" "WA" 17.9385233217084
"210" "WA" 23.0552265040001
"310" "WA" 4.69795650399982
"410" "WA" 0.0562374532499916
"510" "WA" 0.25196099181088
"610" "WA" 33.7421194271923
"710" "WA" 0.926371167011127
"810" "WA" 14.1741208616326
"91" "WA" 22.1067920065001
"101" "WA" 3.66180050400004
"111" "WA" 9.16227350400009
"121" "WA" 3.26286514561216
"131" "WA" 17.990485504
"141" "WA" 0.459714214500252
"151" "WA" 86.9481782565253
"161" "WA" 32.6372702331667
"171" "WA" 18.3101474421444
"181" "WA" 2.29650939995965
"191" "WA" 5.69066206300022
"201" "WA" 4.09548400399984
"211" "WA" 1.24649907455674
"221" "WA" 3.77635173172574
"231" "WA" 7.54092950435
"241" "WA" 1.65016991528859
"251" "WA" 8.81238833763319
"261" "WA" 0.42446700399995
"271" "WA" 11.126370504
"281" "WA" 2.78550680602006
"291" "WA" 11.9638449221029
"301" "WA" 2.8663355036598
"311" "WA" 5.81054250429997
"321" "WA" 1.69999383632319
"331" "WA" 8.85282002725566
"341" "WA" 6.58188165516262
"351" "WA" 6.66744966000016
"361" "WA" 2.76457946149992
"371" "WA" 0.0898096741079931
"381" "WA" 8.747410086788
"391" "WA" 6.24375706522443
"401" "WA" 22.6395825035
"411" "WA" 9.95030594063635
"421" "WA" 18.1759045726136
"431" "WA" 17.313885004
"441" "WA" 13.2594317705878
"451" "WA" 11.7888801304373
"461" "WA" 5.04519786114271
"471" "WA" 3.43872018571437
"481" "WA" 2.70320686588094
"491" "WA" 7.79758920999995
"501" "WA" 35.6870186870001
"511" "WA" 5.28485496276296
"521" "WA" 13.2274681790001
"531" "WA" 25.6575235040001
"541" "WA" 0.9430131776729
"551" "WA" 1.81665195740021
"561" "WA" 1.11088909270012
"571" "WA" 0.951078474172782
"581" "WA" 6.14578023800021
"591" "WA" 7.60926563392745
"601" "WA" 4.63319442824251
"611" "WA" 3.8539974244
"621" "WA" 1.04663970864459
"631" "WA" 10.5087605040003
"641" "WA" 3.90334403033203
"651" "WA" 4.16732421612151
"661" "WA" 2.7905014018808
"671" "WA" 3.22484200400026
"681" "WA" 13.8345380040002
"691" "WA" 19.7893630065001
"701" "WA" 7.12043886268497
"711" "WA" 0.0583940572501546
"721" "WA" 1.32922576460015
"731" "WA" 21.8895420040002
"741" "WA" 0.270317102599961
"751" "WA" 2.78981500415017
"761" "WA" 3.48352677619609
"771" "WA" 15.4199036086044
"781" "WA" 13.6721545040002
"791" "WA" 8.15112079200019
"801" "WA" 28.3864469433941
"811" "WA" 6.25117498605016
"821" "WA" 23.5795990040003
"831" "WA" 1.95947542400017
"841" "WA" 13.5624227019597
"851" "WA" 19.2908465020001
"86" "WA" 35.3647310040001
"87" "WA" 207.572549504
"88" "WA" 41.7702939674146
"89" "WA" 317.426787865854
"110" "WA" 14.7798847422
"212" "WA" 1.79853090559999
