"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"2824" 91 0 5 86 0
"2924" 86 0 4 82 0
"3024" 86 0 0 86 0
"3128" 88 0 2 86 0
"3226" 91 0 8 83 0
"3324" 89 0 4 85 0
"3424" 89 0 1 88 0
"3524" 88 0 2 86 0
"3624" 86 0 2 84 0
"3724" 93 0 7 86 0
"3824" 88 0 2 86 0
"3924" 85 0 2 83 0
"4024" 90 0 4 86 0
"4128" 86 0 0 86 0
"4226" 92 0 3 89 0
"4324" 93 0 4 89 0
"4424" 91 0 3 88 0
"4524" 88 0 3 85 0
"4624" 93 0 5 88 0
"4724" 88 0 2 86 0
"4824" 89 0 2 87 0
"4924" 90 0 6 84 0
"5024" 87 0 4 83 0
"5128" 88 0 1 87 0
"5226" 88 0 5 83 0
"5324" 88 0 3 85 0
"5424" 88 0 1 87 0
"5524" 89 0 3 86 0
"5624" 90 0 5 85 0
"5724" 89 0 3 86 0
"5824" 89 0 5 84 0
"5924" 96 0 7 89 0
"6024" 89 0 4 85 0
"6128" 92 0 4 88 0
"6226" 87 0 1 86 0
"6324" 91 0 4 87 0
"6424" 86 0 0 86 0
"6524" 87 0 2 85 0
"6624" 86 0 3 83 0
"6724" 90 0 4 86 0
"6824" 89 0 3 86 0
"6924" 89 0 4 85 0
"7024" 89 0 2 87 0
"7128" 91 0 4 87 0
"7226" 86 0 1 85 0
"7324" 90 0 6 84 0
"7424" 87 0 4 83 0
"7524" 85 0 0 85 0
"7624" 88 0 3 85 0
"7724" 89 0 4 85 0
"7824" 88 0 4 84 0
"7924" 88 0 1 87 0
"8024" 85 0 1 84 0
"8128" 89 0 6 83 0
"8226" 89 0 4 85 0
"8324" 92 0 5 87 0
"8424" 88 0 3 85 0
"8524" 88 0 3 85 0
"8624" 91 0 3 88 0
"8724" 86 0 1 85 0
"8824" 86 0 1 85 0
"8924" 96 0 8 88 0
"9024" 91 0 7 84 0
"9128" 87 0 2 85 0
"9226" 91 0 5 86 0
"9324" 90 0 2 88 0
"9424" 85 0 1 84 0
"9524" 86 0 2 84 0
"9624" 91 0 5 86 0
"9724" 87 0 2 85 0
"9824" 88 0 5 83 0
"9924" 88 0 2 86 0
"10024" 89 0 3 86 0
"1109" 89 0 0 89 0
"2109" 91 0 3 88 0
"3109" 97 0 7 90 0
"4109" 92 0 3 89 0
"5109" 88 0 0 88 0
"6109" 88 0 0 88 0
"7109" 91 0 3 88 0
"8109" 92 0 5 87 0
"9109" 91 0 2 89 0
"1026" 87 0 0 87 0
"1129" 91 0 2 89 0
"1226" 90 0 2 88 0
"1325" 91 0 2 89 0
"1425" 88 0 2 86 0
"1525" 90 0 1 89 0
"1625" 90 0 3 87 0
"1725" 90 0 3 87 0
"1825" 93 0 5 88 0
"1925" 87 0 0 87 0
"2025" 91 0 2 89 0
"2129" 90 0 2 88 0
"2227" 91 0 3 88 0
"2325" 90 0 3 87 0
"2425" 90 0 3 87 0
"2525" 93 0 6 87 0
"2625" 90 0 2 88 0
"2725" 89 0 1 88 0
"2825" 89 0 1 88 0
"2925" 89 0 3 86 0
"3025" 96 0 6 90 0
"3129" 90 0 2 88 0
"3227" 90 0 2 88 0
"3325" 87 0 0 87 0
"3425" 88 0 2 86 0
"3525" 92 0 4 88 0
"3625" 89 0 1 88 0
"3725" 90 0 1 89 0
"3825" 98 0 7 91 0
"3925" 88 0 0 88 0
"4025" 87 0 1 86 0
"4129" 88 0 1 87 0
"4227" 91 0 2 89 0
"4325" 87 0 1 86 0
"4425" 88 0 0 88 0
"4525" 90 0 2 88 0
"4625" 91 0 3 88 0
"4725" 88 0 1 87 0
"4825" 91 0 2 89 0
"4925" 94 0 3 91 0
"5025" 88 0 0 88 0
"5129" 88 0 0 88 0
"5227" 93 0 5 88 0
"5325" 87 0 2 85 0
"5425" 88 0 1 87 0
"5525" 97 0 5 92 0
"5625" 87 0 1 86 0
"5725" 90 0 5 85 0
"5825" 93 0 3 90 0
"5925" 94 0 4 90 0
"6025" 90 0 1 89 0
"6129" 91 0 3 88 0
"6227" 87 0 1 86 0
"6325" 89 0 2 87 0
"6425" 91 0 3 88 0
"6525" 87 0 0 87 0
"6625" 90 0 2 88 0
"6725" 89 0 1 88 0
"6825" 90 0 3 87 0
"6925" 94 0 5 89 0
"7025" 89 0 2 87 0
"7129" 90 0 3 87 0
"7227" 92 0 3 89 0
"7325" 90 0 3 87 0
"7425" 87 0 1 86 0
"7525" 90 0 2 88 0
"7625" 89 0 3 86 0
"7725" 92 0 4 88 0
"7825" 93 0 3 90 0
"7925" 89 0 1 88 0
"8025" 89 0 3 86 0
"8129" 88 0 1 87 0
"8227" 93 0 4 89 0
"8325" 87 0 1 86 0
"8425" 89 0 2 87 0
"8525" 92 0 4 88 0
"8625" 90 0 3 87 0
"8725" 88 0 2 86 0
"8825" 95 0 4 91 0
"8925" 89 0 3 86 0
"9025" 91 0 2 89 0
"9129" 87 0 0 87 0
"9227" 92 0 4 88 0
"9325" 90 0 3 87 0
"9425" 92 0 4 88 0
"9525" 87 0 0 87 0
"9625" 92 0 4 88 0
"9725" 87 0 0 87 0
"9825" 92 0 2 90 0
"9925" 90 0 1 89 0
"10025" 89 0 1 88 0
"1130" 94 0 5 89 0
"2130" 94 0 8 86 0
"3130" 91 0 6 85 0
"4130" 96 0 4 92 0
"5130" 89 0 2 87 0
"6130" 91 0 2 89 0
"7130" 87 0 3 84 0
"8130" 92 0 6 86 0
"9130" 93 0 7 86 0
"1027" 90 0 2 88 0
"1131" 88 0 0 88 0
"1227" 91 0 5 86 0
"1326" 89 0 3 86 0
"1426" 89 0 5 84 0
"1526" 90 0 2 88 0
"1626" 88 0 0 88 0
"1726" 94 0 8 86 0
"1826" 91 0 6 85 0
"1926" 91 0 2 89 0
"2026" 96 0 11 85 0
"2131" 90 0 2 88 0
"2228" 92 0 6 86 0
"2326" 90 0 4 86 0
"2426" 89 0 4 85 0
"2526" 89 0 4 85 0
"2626" 96 0 8 88 0
"2726" 87 0 4 83 0
"2826" 87 0 1 86 0
"2926" 88 0 2 86 0
"3026" 91 0 6 85 0
"3131" 90 0 2 88 0
"3228" 90 0 1 89 0
"3326" 91 0 3 88 0
"3426" 92 0 4 88 0
"3526" 90 0 3 87 0
"3626" 93 0 6 87 0
"3726" 91 0 5 86 0
"3826" 89 0 1 88 0
"3926" 89 0 2 87 0
"4026" 89 0 3 86 0
"4131" 92 0 3 89 0
"4228" 89 0 2 87 0
"4326" 90 0 3 87 0
"4426" 89 0 4 85 0
"4526" 87 0 5 82 0
"4626" 93 0 6 87 0
"4726" 88 0 3 85 0
"4826" 92 0 10 82 0
"4926" 93 0 5 88 0
"5026" 95 0 4 91 0
"5131" 93 0 6 87 0
"5228" 91 0 4 87 0
"5326" 91 0 3 88 0
"5426" 90 0 3 87 0
"5526" 89 0 2 87 0
"5626" 87 0 2 85 0
"5726" 88 0 3 85 0
"5826" 91 0 6 85 0
"5926" 91 0 3 88 0
"6026" 89 0 2 87 0
"6131" 87 0 2 85 0
"6228" 91 0 4 87 0
"6326" 88 0 3 85 0
"6426" 92 0 5 87 0
"6526" 89 0 4 85 0
"6626" 92 0 3 89 0
"6726" 88 0 2 86 0
"6826" 87 0 2 85 0
"6926" 88 0 2 86 0
"7026" 90 0 6 84 0
"7131" 91 0 6 85 0
"7228" 92 0 3 89 0
"7326" 92 0 5 87 0
"7426" 93 0 3 90 0
"7526" 88 0 3 85 0
"7626" 92 0 4 88 0
"7726" 90 0 2 88 0
"7826" 88 0 1 87 0
"7926" 90 0 2 88 0
"8026" 90 0 5 85 0
"8131" 91 0 3 88 0
"8228" 91 0 4 87 0
"8326" 89 0 2 87 0
"8426" 90 0 4 86 0
"8526" 92 0 6 86 0
"8626" 88 0 1 87 0
"8726" 88 0 4 84 0
"8826" 90 0 4 86 0
"8926" 95 0 5 90 0
"9026" 89 0 2 87 0
"9131" 95 0 4 91 0
"9228" 88 0 2 86 0
"9326" 91 0 2 89 0
"9426" 91 0 3 88 0
"9526" 92 0 4 88 0
"9626" 90 0 3 87 0
"9726" 89 0 2 87 0
"9826" 94 0 9 85 0
"9926" 91 0 2 89 0
"10026" 94 0 4 90 0
"1132" 90 0 1 89 0
"2132" 94 0 6 88 0
"3132" 89 0 1 88 0
"4132" 90 0 2 88 0
"5132" 93 0 3 90 0
"6132" 88 0 1 87 0
"7132" 89 0 1 88 0
"8132" 89 0 1 88 0
"9132" 95 0 6 89 0
"1028" 91 0 3 88 0
"1133" 89 0 3 86 0
"1228" 89 0 2 87 0
"1327" 92 0 4 88 0
"1427" 88 0 0 88 0
"1527" 89 0 1 88 0
"1627" 88 0 1 87 0
"1727" 92 0 5 87 0
"1827" 91 0 3 88 0
"1927" 90 0 2 88 0
"2027" 89 0 4 85 0
"2133" 90 0 2 88 0
"2229" 93 0 3 90 0
"2327" 89 0 1 88 0
"2427" 91 0 3 88 0
"2527" 91 0 2 89 0
"2627" 90 0 1 89 0
"2727" 91 0 2 89 0
"2827" 93 0 3 90 0
"2927" 93 0 5 88 0
"3027" 89 0 1 88 0
"3133" 90 0 1 89 0
"3229" 90 0 2 88 0
"3327" 95 0 5 90 0
"3427" 92 0 3 89 0
"3527" 91 0 4 87 0
"3627" 90 0 1 89 0
"3727" 88 0 0 88 0
"3827" 91 0 3 88 0
"3927" 90 0 3 87 0
"4027" 93 0 3 90 0
"4133" 96 0 7 89 0
"4229" 92 0 3 89 0
"4327" 91 0 4 87 0
"4427" 94 0 5 89 0
"4527" 90 0 0 90 0
"4627" 91 0 2 89 0
"4727" 94 0 4 90 0
"4827" 96 0 4 92 0
"4927" 91 0 3 88 0
"5027" 90 0 2 88 0
"5133" 89 0 1 88 0
"5229" 90 0 1 89 0
"5327" 99 0 7 92 0
"5427" 99 0 8 91 0
"5527" 89 0 0 89 0
"5627" 92 0 4 88 0
"5727" 92 0 2 90 0
"5827" 90 0 2 88 0
"5927" 91 0 2 89 0
"6027" 95 0 6 89 0
"6133" 97 0 5 92 0
"6229" 90 0 1 89 0
"6327" 89 0 2 87 0
"6427" 92 0 5 87 0
"6527" 89 0 2 87 0
"6627" 92 0 3 89 0
"6727" 91 0 1 90 0
"6827" 90 0 2 88 0
"6927" 94 0 4 90 0
"7027" 91 0 3 88 0
"7133" 93 0 3 90 0
"7229" 91 0 2 89 0
"7327" 91 0 3 88 0
"7427" 95 0 6 89 0
"7527" 92 0 4 88 0
"7627" 91 0 3 88 0
"7727" 91 0 2 89 0
"7827" 92 0 3 89 0
"7927" 95 0 5 90 0
"8027" 88 0 1 87 0
"8133" 92 0 5 87 0
"8229" 94 0 6 88 0
"8327" 94 0 4 90 0
"8427" 93 0 3 90 0
"8527" 91 0 3 88 0
"8627" 94 0 3 91 0
"8727" 91 0 2 89 0
"8827" 90 0 3 87 0
"8927" 90 0 2 88 0
"9027" 89 0 3 86 0
"9133" 93 0 3 90 0
"9229" 92 0 2 90 0
"9327" 92 0 3 89 0
"9427" 91 0 3 88 0
"9527" 95 0 7 88 0
"9627" 90 0 3 87 0
"9727" 94 0 3 91 0
"9827" 91 0 3 88 0
"9927" 89 0 1 88 0
"10027" 90 0 2 88 0
"1134" 87 0 2 85 0
"2134" 89 0 3 86 0
"3134" 92 0 6 86 0
"4134" 93 0 3 90 0
"5134" 91 0 3 88 0
"6134" 93 0 5 88 0
"7134" 88 0 2 86 0
"8134" 92 0 6 86 0
"9134" 89 0 2 87 0
"1029" 97 0 6 91 0
"1135" 91 0 2 89 0
"1229" 97 0 7 90 0
"1328" 87 0 1 86 0
"1428" 89 0 1 88 0
"1528" 90 0 3 87 0
"1628" 89 0 2 87 0
"1728" 90 0 2 88 0
"1828" 88 0 2 86 0
"1928" 88 0 1 87 0
"2028" 92 0 4 88 0
"2135" 89 0 5 84 0
"2230" 87 0 0 87 0
"2328" 89 0 2 87 0
"2428" 87 0 2 85 0
"2528" 91 0 5 86 0
"2628" 89 0 1 88 0
"2728" 87 0 2 85 0
"2828" 89 0 1 88 0
"2928" 91 0 3 88 0
"3028" 89 0 1 88 0
"3135" 90 0 2 88 0
"3230" 89 0 2 87 0
"3328" 90 0 2 88 0
"3428" 91 0 2 89 0
"3528" 88 0 2 86 0
"3628" 87 0 1 86 0
"3728" 89 0 3 86 0
"3828" 89 0 2 87 0
"3928" 91 0 4 87 0
"4028" 91 0 5 86 0
"4135" 87 0 0 87 0
"4230" 91 0 3 88 0
"4328" 90 0 3 87 0
"4428" 90 0 3 87 0
"4528" 89 0 1 88 0
"4628" 94 0 4 90 0
"4728" 92 0 4 88 0
"4828" 91 0 4 87 0
"4928" 92 0 5 87 0
"5028" 95 0 7 88 0
"5135" 87 0 0 87 0
"5230" 88 0 1 87 0
"5328" 93 0 7 86 0
"5428" 89 0 1 88 0
"5528" 88 0 4 84 0
"5628" 94 0 7 87 0
"5728" 87 0 1 86 0
"5828" 90 0 6 84 0
"5928" 88 0 2 86 0
"6028" 89 0 3 86 0
"6135" 87 0 3 84 0
"6230" 94 0 4 90 0
"6328" 91 0 3 88 0
"6428" 94 0 6 88 0
"6528" 89 0 3 86 0
"6628" 95 0 5 90 0
"6728" 88 0 2 86 0
"6828" 91 0 2 89 0
"6928" 89 0 2 87 0
"7028" 89 0 2 87 0
"7135" 89 0 4 85 0
"7230" 90 0 3 87 0
"7328" 89 0 2 87 0
"7428" 91 0 3 88 0
"7528" 89 0 3 86 0
"7628" 89 0 4 85 0
"7728" 93 0 5 88 0
"7828" 87 0 1 86 0
"7928" 88 0 2 86 0
"8028" 91 0 4 87 0
"8135" 91 0 2 89 0
"8230" 90 0 2 88 0
"8328" 88 0 3 85 0
"8428" 91 0 3 88 0
"8528" 89 0 3 86 0
"8628" 96 0 6 90 0
"8728" 90 0 3 87 0
"8828" 90 0 3 87 0
"8928" 88 0 2 86 0
"9028" 88 0 4 84 0
"9135" 89 0 3 86 0
"9230" 91 0 3 88 0
"9328" 90 0 3 87 0
"9428" 90 0 3 87 0
"9528" 95 0 4 91 0
"9628" 88 0 2 86 0
"9728" 90 0 3 87 0
"9828" 92 0 6 86 0
"9928" 93 0 6 87 0
"10028" 87 0 1 86 0
"1136" 92 0 3 89 0
"2136" 92 0 3 89 0
"3136" 89 0 3 86 0
"4136" 90 0 2 88 0
"5136" 95 0 5 90 0
"6136" 93 0 4 89 0
"7136" 90 0 1 89 0
"8136" 89 0 1 88 0
"9136" 89 0 4 85 0
"1030" 89 0 3 86 0
"1137" 93 0 6 87 0
"1230" 87 0 2 85 0
"1329" 90 0 3 87 0
"1429" 92 0 5 87 0
"1529" 91 0 3 88 0
"1629" 93 0 3 90 0
"1729" 92 0 5 87 0
"1829" 90 0 5 85 0
"1929" 92 0 6 86 0
"2029" 91 0 6 85 0
"2137" 89 0 2 87 0
"2231" 93 0 5 88 0
"2329" 92 0 4 88 0
"2429" 96 0 8 88 0
"2529" 89 0 2 87 0
"2629" 88 0 1 87 0
"2729" 88 0 4 84 0
"2829" 90 0 3 87 0
"2929" 91 0 2 89 0
"3029" 87 0 1 86 0
"3137" 89 0 1 88 0
"3231" 88 0 4 84 0
"3329" 89 0 1 88 0
"3429" 90 0 3 87 0
"3529" 95 0 5 90 0
"3629" 91 0 4 87 0
"3729" 90 0 3 87 0
"3829" 90 0 4 86 0
"3929" 90 0 2 88 0
"4029" 91 0 2 89 0
"4137" 90 0 2 88 0
"4231" 91 0 3 88 0
"4329" 89 0 2 87 0
"4429" 88 0 1 87 0
"4529" 88 0 2 86 0
"4629" 93 0 5 88 0
"4729" 89 0 2 87 0
"4829" 92 0 4 88 0
"4929" 88 0 5 83 0
"5029" 89 0 3 86 0
"5137" 93 0 9 84 0
"5231" 92 0 4 88 0
"5329" 88 0 4 84 0
"5429" 89 0 2 87 0
"5529" 91 0 2 89 0
"5629" 89 0 2 87 0
"5729" 91 0 3 88 0
"5829" 91 0 2 89 0
"5929" 94 0 9 85 0
"6029" 89 0 1 88 0
"6137" 89 0 2 87 0
"6231" 89 0 2 87 0
"6329" 90 0 4 86 0
"6429" 96 0 5 91 0
"6529" 91 0 5 86 0
"6629" 90 0 4 86 0
"6729" 90 0 3 87 0
"6829" 91 0 4 87 0
"6929" 93 0 7 86 0
"7029" 90 0 5 85 0
"7137" 90 0 3 87 0
"7231" 92 0 4 88 0
"7329" 90 0 4 86 0
"7429" 90 0 2 88 0
"7529" 87 0 0 87 0
"7629" 88 0 2 86 0
"7729" 91 0 4 87 0
"7829" 95 0 6 89 0
"7929" 90 0 5 85 0
"8029" 87 0 0 87 0
"8137" 87 0 1 86 0
"8231" 91 0 4 87 0
"8329" 91 0 6 85 0
"8429" 91 0 4 87 0
"8529" 95 0 5 90 0
"8629" 93 0 7 86 0
"8729" 90 0 5 85 0
"8829" 90 0 4 86 0
"8929" 89 0 3 86 0
"9029" 88 0 2 86 0
"9137" 91 0 2 89 0
"9231" 87 0 1 86 0
"9329" 89 0 4 85 0
"9429" 87 0 1 86 0
"9529" 91 0 6 85 0
"9629" 94 0 4 90 0
"9729" 93 0 4 89 0
"9829" 92 0 6 86 0
"9929" 89 0 3 86 0
"10029" 88 0 2 86 0
"1138" 92 0 3 89 0
"2138" 89 0 1 88 0
"3138" 94 0 8 86 0
"4138" 89 0 1 88 0
"5138" 92 0 2 90 0
"6138" 92 0 3 89 0
"7138" 89 0 1 88 0
"8138" 92 0 4 88 0
"9138" 89 0 1 88 0
"1031" 94 0 5 89 0
"1139" 89 0 2 87 0
"1231" 92 0 5 87 0
"1330" 90 0 2 88 0
"1430" 89 0 2 87 0
"1530" 87 0 0 87 0
"1630" 87 0 0 87 0
"1730" 88 0 1 87 0
"1830" 88 0 0 88 0
"1930" 93 0 3 90 0
"2030" 92 0 2 90 0
"2139" 95 0 4 91 0
"2232" 89 0 1 88 0
"2330" 91 0 5 86 0
"2430" 92 0 4 88 0
"2530" 93 0 3 90 0
"2630" 88 0 3 85 0
"2730" 91 0 4 87 0
"2830" 90 0 1 89 0
"2930" 92 0 5 87 0
"3030" 90 0 2 88 0
"3139" 88 0 0 88 0
"3232" 93 0 3 90 0
"3330" 89 0 1 88 0
"3430" 87 0 0 87 0
"3530" 91 0 3 88 0
"3630" 87 0 0 87 0
"3730" 92 0 4 88 0
"3830" 96 0 5 91 0
"3930" 92 0 3 89 0
"4030" 90 0 1 89 0
"4139" 89 0 4 85 0
"4232" 89 0 2 87 0
"4330" 90 0 3 87 0
"4430" 89 0 1 88 0
"4530" 94 0 5 89 0
"4630" 89 0 2 87 0
"4730" 96 0 5 91 0
"4830" 94 0 4 90 0
"4930" 92 0 4 88 0
"5030" 89 0 2 87 0
"5139" 89 0 4 85 0
"5232" 89 0 1 88 0
"5330" 91 0 1 90 0
"5430" 89 0 1 88 0
"5530" 92 0 4 88 0
"5630" 91 0 3 88 0
"5730" 92 0 2 90 0
"5830" 94 0 5 89 0
"5930" 90 0 6 84 0
"6030" 91 0 3 88 0
"6139" 89 0 2 87 0
"6232" 87 0 2 85 0
"6330" 87 0 1 86 0
"6430" 87 0 0 87 0
"6530" 91 0 3 88 0
"6630" 92 0 4 88 0
"6730" 91 0 4 87 0
"6830" 90 0 3 87 0
"6930" 89 0 1 88 0
"7030" 98 0 7 91 0
"7139" 88 0 0 88 0
"7232" 89 0 2 87 0
"7330" 91 0 2 89 0
"7430" 88 0 0 88 0
"7530" 91 0 3 88 0
"7630" 87 0 0 87 0
"7730" 89 0 1 88 0
"7830" 89 0 2 87 0
"7930" 94 0 3 91 0
"8030" 89 0 3 86 0
"8139" 91 0 3 88 0
"8232" 90 0 3 87 0
"8330" 87 0 2 85 0
"8430" 97 0 5 92 0
"8530" 88 0 1 87 0
"8630" 90 0 4 86 0
"8730" 92 0 2 90 0
"8830" 87 0 0 87 0
"8930" 89 0 1 88 0
"9030" 89 0 2 87 0
"9139" 92 0 5 87 0
"9232" 87 0 0 87 0
"9330" 87 0 0 87 0
"9430" 93 0 3 90 0
"9530" 89 0 4 85 0
"9630" 91 0 2 89 0
"9730" 90 0 1 89 0
"9830" 92 0 4 88 0
"9930" 88 0 1 87 0
"10030" 90 0 2 88 0
"1140" 93 0 3 90 0
"2140" 89 0 3 86 0
"3140" 92 0 3 89 0
"4140" 93 0 5 88 0
"5140" 89 0 2 87 0
"6140" 91 0 3 88 0
"7140" 91 0 2 89 0
"8140" 92 0 3 89 0
"9140" 92 0 2 90 0
"1032" 95 0 4 91 0
"1141" 90 0 3 87 0
"1232" 92 0 2 90 0
"1331" 89 0 1 88 0
"1431" 90 0 2 88 0
"1531" 88 0 1 87 0
"1631" 94 0 4 90 0
"1731" 91 0 2 89 0
"1831" 90 0 2 88 0
"1931" 95 0 4 91 0
"2031" 89 0 1 88 0
"2141" 95 0 6 89 0
"2233" 93 0 3 90 0
"2331" 92 0 3 89 0
"2431" 95 0 5 90 0
"2531" 93 0 3 90 0
"2631" 94 0 6 88 0
"2731" 89 0 2 87 0
"2831" 89 0 2 87 0
"2931" 92 0 3 89 0
"3031" 93 0 4 89 0
"3141" 96 0 6 90 0
"3233" 94 0 4 90 0
"3331" 89 0 1 88 0
"3431" 89 0 1 88 0
"3531" 92 0 3 89 0
"3631" 91 0 1 90 0
"3731" 89 0 2 87 0
"3831" 90 0 3 87 0
"3931" 90 0 3 87 0
"4031" 95 0 4 91 0
"4141" 91 0 1 90 0
"4233" 93 0 5 88 0
"4331" 91 0 6 85 0
"4431" 93 0 6 87 0
"4531" 89 0 1 88 0
"4631" 93 0 3 90 0
"4731" 91 0 2 89 0
"4831" 92 0 3 89 0
"4931" 91 0 3 88 0
"5031" 90 0 2 88 0
"5141" 90 0 3 87 0
"5233" 89 0 2 87 0
"5331" 94 0 6 88 0
"5431" 90 0 2 88 0
"5531" 93 0 4 89 0
"5631" 89 0 0 89 0
"5731" 92 0 3 89 0
"5831" 92 0 3 89 0
"5931" 92 0 2 90 0
"6031" 94 0 4 90 0
"6141" 91 0 2 89 0
"6233" 95 0 3 92 0
"6331" 91 0 2 89 0
"6431" 90 0 2 88 0
"6531" 90 0 3 87 0
"6631" 89 0 1 88 0
"6731" 93 0 4 89 0
"6831" 91 0 2 89 0
"6931" 92 0 3 89 0
"7031" 94 0 3 91 0
"7141" 91 0 2 89 0
"7233" 88 0 2 86 0
"7331" 88 0 1 87 0
"7431" 90 0 2 88 0
"7531" 90 0 3 87 0
"7631" 92 0 4 88 0
"7731" 92 0 3 89 0
"7831" 90 0 2 88 0
"7931" 92 0 4 88 0
"8031" 92 0 5 87 0
"8141" 92 0 3 89 0
"8233" 91 0 1 90 0
"8331" 91 0 1 90 0
"8431" 89 0 0 89 0
"8531" 90 0 3 87 0
"8631" 94 0 5 89 0
"8731" 92 0 3 89 0
"8831" 92 0 5 87 0
"8931" 93 0 3 90 0
"9031" 95 0 4 91 0
"9141" 91 0 1 90 0
"9233" 91 0 4 87 0
"9331" 91 0 4 87 0
"9431" 91 0 1 90 0
"9531" 89 0 1 88 0
"9631" 93 0 4 89 0
"9731" 89 0 2 87 0
"9831" 90 0 2 88 0
"9931" 96 0 5 91 0
"10031" 89 0 3 86 0
"1142" 89 0 3 86 0
"2142" 90 0 5 85 0
"3142" 87 0 1 86 0
"4142" 90 0 5 85 0
"5142" 92 0 5 87 0
"6142" 89 0 5 84 0
"7142" 90 0 6 84 0
"8142" 86 0 0 86 0
"9142" 90 0 6 84 0
"1033" 87 0 0 87 0
"1143" 93 0 4 89 0
"1233" 87 0 2 85 0
"1332" 94 0 6 88 0
"1432" 89 0 1 88 0
"1532" 91 0 4 87 0
"1632" 88 0 1 87 0
"1732" 90 0 6 84 0
"1832" 89 0 5 84 0
"1932" 88 0 2 86 0
"2032" 88 0 3 85 0
"2143" 91 0 4 87 0
"2234" 91 0 4 87 0
"2332" 91 0 3 88 0
"2432" 87 0 4 83 0
"2532" 91 0 5 86 0
"2632" 87 0 2 85 0
"2732" 88 0 4 84 0
"2832" 94 0 5 89 0
"2932" 95 0 7 88 0
"3032" 95 0 6 89 0
"3143" 92 0 7 85 0
"3234" 86 0 3 83 0
"3332" 97 0 10 87 0
"3432" 88 0 3 85 0
"3532" 91 0 3 88 0
"3632" 89 0 1 88 0
"3732" 87 0 2 85 0
"3832" 88 0 3 85 0
"3932" 88 0 4 84 0
"4032" 92 0 4 88 0
"4143" 91 0 2 89 0
"4234" 91 0 5 86 0
"4332" 90 0 5 85 0
"4432" 87 0 2 85 0
"4532" 92 0 5 87 0
"4632" 91 0 4 87 0
"4732" 88 0 2 86 0
"4832" 88 0 4 84 0
"4932" 86 0 1 85 0
"5032" 87 0 1 86 0
"5143" 94 0 7 87 0
"5234" 89 0 3 86 0
"5332" 92 0 6 86 0
"5432" 93 0 5 88 0
"5532" 86 0 2 84 0
"5632" 87 0 2 85 0
"5732" 88 0 4 84 0
"5832" 86 0 1 85 0
"5932" 93 0 7 86 0
"6032" 87 0 2 85 0
"6143" 88 0 5 83 0
"6234" 88 0 4 84 0
"6332" 89 0 3 86 0
"6432" 86 0 2 84 0
"6532" 88 0 2 86 0
"6632" 91 0 3 88 0
"6732" 87 0 1 86 0
"6832" 89 0 3 86 0
"6932" 88 0 3 85 0
"7032" 88 0 4 84 0
"7143" 88 0 1 87 0
"7234" 88 0 2 86 0
"7332" 89 0 4 85 0
"7432" 89 0 2 87 0
"7532" 86 0 1 85 0
"7632" 91 0 4 87 0
"7732" 90 0 3 87 0
"7832" 90 0 4 86 0
"7932" 88 0 2 86 0
"8032" 90 0 3 87 0
"8143" 93 0 7 86 0
"8234" 90 0 4 86 0
"8332" 91 0 5 86 0
"8432" 87 0 2 85 0
"8532" 91 0 6 85 0
"8632" 90 0 3 87 0
"8732" 88 0 3 85 0
"8832" 92 0 4 88 0
"8932" 89 0 3 86 0
"9032" 88 0 1 87 0
"9143" 90 0 5 85 0
"9234" 90 0 5 85 0
"9332" 94 0 7 87 0
"9432" 90 0 5 85 0
"9532" 87 0 2 85 0
"9632" 90 0 4 86 0
"9732" 89 0 3 86 0
"9832" 91 0 4 87 0
"9932" 90 0 5 85 0
"10032" 88 0 3 85 0
"1144" 87 0 2 85 0
"2144" 92 0 4 88 0
"3144" 93 0 5 88 0
"4144" 90 0 4 86 0
"5144" 86 0 1 85 0
"6144" 93 0 3 90 0
"7144" 86 0 0 86 0
"8144" 90 0 4 86 0
"9144" 90 0 2 88 0
"1034" 88 0 2 86 0
"1145" 89 0 3 86 0
"1234" 89 0 3 86 0
"1333" 88 0 1 87 0
"1433" 91 0 7 84 0
"1533" 87 0 0 87 0
"1633" 89 0 1 88 0
"1733" 94 0 6 88 0
"1833" 91 0 4 87 0
"1933" 89 0 2 87 0
"2033" 88 0 2 86 0
"2145" 91 0 4 87 0
"2235" 89 0 4 85 0
"2333" 86 0 0 86 0
"2433" 90 0 3 87 0
"2533" 88 0 1 87 0
"2633" 86 0 0 86 0
"2733" 88 0 2 86 0
"2833" 92 0 3 89 0
"2933" 91 0 5 86 0
"3033" 92 0 5 87 0
"3145" 86 0 0 86 0
"3235" 89 0 2 87 0
"3333" 88 0 2 86 0
"3433" 91 0 3 88 0
"3533" 86 0 0 86 0
"3633" 87 0 0 87 0
"3733" 90 0 2 88 0
"3833" 87 0 2 85 0
"3933" 93 0 5 88 0
"4033" 93 0 8 85 0
"4145" 87 0 1 86 0
"4235" 89 0 2 87 0
"4333" 91 0 5 86 0
"4433" 86 0 1 85 0
"4533" 91 0 3 88 0
"4633" 88 0 1 87 0
"4733" 91 0 3 88 0
"4833" 87 0 2 85 0
"4933" 86 0 0 86 0
"5033" 88 0 1 87 0
"5145" 90 0 4 86 0
"5235" 91 0 3 88 0
"5333" 90 0 4 86 0
"5433" 89 0 2 87 0
"5533" 93 0 4 89 0
"5633" 89 0 3 86 0
"5733" 92 0 6 86 0
