"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"262" 93 0 4 89 0
"272" 91 0 3 88 0
"282" 90 0 2 88 0
"292" 87 0 0 87 0
"302" 93 0 4 89 0
"313" 87 0 1 86 0
"322" 88 0 2 86 0
"332" 87 0 2 85 0
"342" 88 0 3 85 0
"352" 97 0 6 91 0
"362" 92 0 3 89 0
"372" 93 0 5 88 0
"382" 94 0 4 90 0
"392" 90 0 6 84 0
"402" 89 0 2 87 0
"413" 91 0 4 87 0
"422" 88 0 3 85 0
"432" 88 0 1 87 0
"442" 91 0 3 88 0
"452" 93 0 5 88 0
"462" 90 0 4 86 0
"472" 92 0 3 89 0
"482" 90 0 3 87 0
"492" 94 0 6 88 0
"502" 94 0 5 89 0
"513" 87 0 1 86 0
"522" 89 0 1 88 0
"532" 89 0 3 86 0
"542" 88 0 1 87 0
"552" 92 0 5 87 0
"562" 92 0 3 89 0
"572" 88 0 2 86 0
"582" 90 0 3 87 0
"592" 91 0 2 89 0
"602" 92 0 3 89 0
"613" 89 0 3 86 0
"622" 91 0 4 87 0
"632" 89 0 3 86 0
"642" 92 0 5 87 0
"652" 87 0 2 85 0
"662" 90 0 4 86 0
"672" 92 0 4 88 0
"682" 89 0 3 86 0
"692" 89 0 4 85 0
"702" 92 0 4 88 0
"713" 88 0 3 85 0
"722" 87 0 1 86 0
"732" 89 0 2 87 0
"742" 94 0 4 90 0
"752" 93 0 5 88 0
"762" 88 0 1 87 0
"772" 91 0 3 88 0
"782" 90 0 3 87 0
"792" 91 0 2 89 0
"802" 90 0 3 87 0
"813" 90 0 2 88 0
"822" 90 0 2 88 0
"832" 90 0 2 88 0
"842" 89 0 2 87 0
"852" 91 0 3 88 0
"862" 90 0 1 89 0
"872" 92 0 3 89 0
"882" 87 0 1 86 0
"892" 90 0 3 87 0
"902" 87 0 1 86 0
"913" 89 0 3 86 0
"922" 89 0 3 86 0
"932" 90 0 3 87 0
"942" 91 0 3 88 0
"952" 94 0 5 89 0
"962" 88 0 1 87 0
"972" 89 0 2 87 0
"982" 87 0 1 86 0
"992" 92 0 2 90 0
"1002" 94 0 4 90 0
"113" 86 0 1 85 0
"214" 86 0 1 85 0
"314" 90 0 3 87 0
"414" 93 0 6 87 0
"514" 94 0 5 89 0
"614" 91 0 4 87 0
"714" 87 0 2 85 0
"814" 94 0 5 89 0
"914" 90 0 4 86 0
"104" 92 0 4 88 0
"114" 86 0 2 84 0
"123" 88 0 2 86 0
"133" 93 0 5 88 0
"143" 88 0 3 85 0
"153" 87 0 3 84 0
"163" 90 0 4 86 0
"173" 90 0 4 86 0
"183" 91 0 6 85 0
"193" 86 0 1 85 0
"203" 88 0 2 86 0
"215" 93 0 6 87 0
"223" 91 0 5 86 0
"233" 91 0 5 86 0
"243" 86 0 2 84 0
"253" 92 0 6 86 0
"263" 88 0 2 86 0
"273" 90 0 4 86 0
"283" 91 0 5 86 0
"293" 92 0 5 87 0
"303" 88 0 4 84 0
"315" 89 0 3 86 0
"323" 89 0 4 85 0
"333" 90 0 3 87 0
"343" 89 0 1 88 0
"353" 88 0 2 86 0
"363" 88 0 1 87 0
"373" 88 0 2 86 0
"383" 91 0 4 87 0
"393" 86 0 1 85 0
"403" 91 0 5 86 0
"415" 87 0 2 85 0
"423" 87 0 2 85 0
"433" 94 0 7 87 0
"443" 90 0 4 86 0
"453" 90 0 4 86 0
"463" 92 0 5 87 0
"473" 94 0 6 88 0
"483" 89 0 3 86 0
"493" 92 0 4 88 0
"503" 87 0 2 85 0
"515" 91 0 5 86 0
"523" 89 0 3 86 0
"533" 86 0 2 84 0
"543" 90 0 3 87 0
"553" 93 0 4 89 0
"563" 88 0 2 86 0
"573" 91 0 2 89 0
"583" 89 0 5 84 0
"593" 89 0 4 85 0
"603" 86 0 1 85 0
"615" 88 0 3 85 0
"623" 86 0 1 85 0
"633" 91 0 5 86 0
"643" 90 0 4 86 0
"653" 93 0 6 87 0
"663" 89 0 2 87 0
"673" 86 0 1 85 0
"683" 90 0 3 87 0
"693" 88 0 3 85 0
"703" 92 0 3 89 0
"715" 88 0 4 84 0
"723" 90 0 5 85 0
"733" 89 0 4 85 0
"743" 90 0 4 86 0
"753" 90 0 3 87 0
"763" 88 0 2 86 0
"773" 88 0 3 85 0
"783" 88 0 2 86 0
"793" 87 0 2 85 0
"803" 86 0 1 85 0
"815" 93 0 6 87 0
"823" 86 0 1 85 0
"833" 88 0 2 86 0
"843" 90 0 4 86 0
"853" 88 0 2 86 0
"863" 91 0 6 85 0
"873" 88 0 3 85 0
"883" 95 0 7 88 0
"893" 93 0 5 88 0
"903" 91 0 5 86 0
"915" 91 0 4 87 0
"923" 86 0 0 86 0
"933" 90 0 6 84 0
"943" 86 0 1 85 0
"953" 88 0 3 85 0
"963" 89 0 3 86 0
"973" 87 0 2 85 0
"983" 88 0 3 85 0
"993" 90 0 6 84 0
"1003" 92 0 3 89 0
"115" 89 0 5 84 0
"216" 92 0 5 87 0
"316" 91 0 3 88 0
"416" 90 0 4 86 0
"516" 90 0 4 86 0
"616" 92 0 7 85 0
"716" 91 0 5 86 0
"816" 89 0 4 85 0
"916" 89 0 4 85 0
"105" 90 0 4 86 0
"116" 94 0 6 88 0
